aan,on 8
aanbieden,to offer 14
de aanbieding,offer 14
aandoen,to put on 14
aangifte doen,to report (a crime) 18
aanhebben,to have on 13
aankomen,to arrive 12
aantrekkelijk,attractive 14
de aardappel,potato 5
het abonnement,subscription 14
het accent,accent 11
de accountant,accountant 11
achter,behind 8
de achternaam,surname 1
het adres,address 1
afbreken,to break 10
afgaan,to go down 12
afgelopen,"past 9, last few 9"
afrekenen,to pay / settle the bill 3
afscheid nemen,to say goodbye 1
afsnijden,to cut off 13
de afspraak,date / appointment 4
afspreken,to set a date / make an appointment 4
de agenda,diary 4
ah,ah 13
al,already 1
al lang,for a long time 2
allebei,both 7
alleen,only 6
allemaal,everyone 1
allergisch,allergic 9
allerlei,all kinds of 7
alles,everything 3
als,"as 6, if 18"
alsjeblieft,please 5
alstublieft,please 3
altijd,always 5
alvast,in the meantime 6
ander(e),"other 1, 2"
anders,"otherwise 9, different"
anders nog iets,anything else 5
de andijvie,endive 5
het antwoord,answer 1
de apotheek,pharmacy 9
het appartement,apartment 8
de arm,arm 9
de auto,car 13
de automaat,vending machine 14
de avond,evening 6
het avondeten,"dinner, evening meal 17"
de baan,job 11
de baas,boss 11
het bad,bath 8
de badkamer,bathroom 8
de bagagedrager,carrier 10
het bakje,punnet 5
de balie,"information desk, counter 12"
het balkon,balcony 8
de band,tyre 10
bang,afraid 14
de bank,"sofa / couch 8, bank 17"
de bankpas,bank card 18
de bankrekening,bank account 18
het bed,bed 8
bedanken,to thank 3
bedankt,thanks 3
bedoelen,to mean 10
het bedrag,amount 14
het bedrijf,company 11
het been,leg 9
beetje,a bit 6
het begin,beginning 16
beginnen,to begin / start 1
begrijpen,to understand 11
begroeten,to greet 1
behalve,"except, besides 17"
beide,both 14
bekend,known 12
bekijken,to look at 9
belachelijk,ridiculous 13
belangrijk,important 4
bellen,to phone 8
beneden,downstairs 12
de benedenwoning,ground-floor flat 8
beoordelen,to judge 6
bepaald,certain 8
de berg,mountain 15
beschrijven,to describe 2
beslissen,to decide 7
best,best 7
het bestek,cutlery 6
bestellen,to order 3
betalen,to pay 3
betekenen,to mean 10
beter,better 7
beterschap,get well soon 9
de beurt,turn 5
bevallen,"to like, to enjoy 11"
bezig,"has started 16, busy"
het bezoek,visit / visitors 2
bezoeken,to visit 13
de bibliotheek,library 17
de biefstuk,steak 6
het bier(tje),beer 3
bij,"next to 8, near"
het bijbaantje,"job on the side, part-time job 11"
bijna,almost 16
bijzonder,special 9
binnen,within 7
binnenkomen,to come in 13
de bioscoop,cinema 11
de bladzijde,page 1
blauw,blue 7
blijven,to stay / remain 4
de bloem,flower 13
de bloemkool,cauliflower 5
blokkeren,to block 18
blond,blond 2
het boek,book 1
de bon,receipt 7
de bonbon,chocolate 13
boodschappen doen,to go shopping 5
de boon (het boontje),bean 5
het bord(je),sign 12
de bos,bunch 13
het bosje,bunch 5
boven,upstairs 12
de bovenwoning,upstairs flat 8
brengen,"to take 13, to bring"
de brief,letter 14
de bril,glasses 2
de broek,trousers 7
de broer,brother 2
het broodje,bread roll 15
de buik,stomach 9
het buikspierkwartier,abs workout 14
buiten,outside 15
het buitenland,abroad 11
de buitenlander,foreigner 5
het bultje,lump 9
het bureau,desk 8
de buren,neighbours 4
de bus,bus 12
de buschauffeur,bus driver 12
de buurman,neighbour (m) 1
de buurt,neighbourhood 8
de buurvrouw,neighbour (f) 11
het cadeau,present / gift 11
het café,cafe / pub 3
de caissière,box office assistant 16
de camera,camera 4
de cappuccino,cappuccino 6
de cent,cent 5
het centrum,city centre 8
de champignon,mushroom 5
de chauffeur,driver 12
Chili,Chile 11
China,China 1
Chinees,Chinese 1
Chinese,Chinese 1
de chocola,chocolate 6
de cola,cola 3
de collega,colleague 14
het college,"lecture, class 17"
Colombia,Columbia 15
de computer,computer 8
de conditie,"physical condition, fitness 14"
contact opnemen,to contact 18
controleren,to check 10
de courgette,courgette 5
Cubaans,Cuban 11
de cursus,course 1
daag,bye 1
daar,there 2
daarna,after that 9
daarom,that’s why 3
de dader,culprit 18
dag,"hello 1, bye 1"
de dag,day 1
de dagschotel,today’s special 6
dan,"then 4, than 7"
dank je / u wel,"thank you 3, 6"
dat,"that 2, 11"
de datum,date 4
de,the 2
het deel,"part, episode 17"
denken,to think 9
de deur,door 11
deze,this / these 2
dicht bij,close to 8
die,that 7
het dier,animal 13
het ding,thing 10
direct,"right now 4, straightaway 12"
dit,this 3
de docent,teacher / lecturer 1
de documentaire,documentary 16
doeg,bye 1
doei,bye 1
het doel,"goal, target 14"
doen,"to do 2, to work 10"
de dokter,doctor 9
donker,dark 2
de dood,death 13
de doos,box 13
de dorst,thirst 6
de douche,shower 8
douchen,to shower 17
draaien,to be showing 16
dragen,to carry 15
het drankje,drink 14
drinken,to drink 3
dromen,to dream 17
druk,busy 11
duidelijk,clear 10
Duits,German 11
duren,to take / to last 15
dus,so / therefore 2
duur,expensive 5
echt,real 15
een,a(n) 2
eens,(usually untranslated) 2
eenvoudig,simple 8
eerder,earlier 16
eergisteren,day before yesterday 2
eerlijk,honest 18
eerst(e),"first 3, 11"
eet smakelijk,bon appetit 6
eh,um 6
eigen,own 11
eigenlijk,actually / really 2
het eiland,island 17
het eind(e),"end 10, 12"
elk,each 14
elkaar,each other 3
de emmer,bucket 9
en,and 1
de energie,energy 14
het energiedrankje,energy drink 14
Engeland,England 1
Engels,English 1
Engelse,English 1
Engelsman,English 1
er,there 5
erbij,with it 5
erg,very 6
ergens,somewhere 7
eruit zien,to look like 18
ervandoor moeten,to have to go 4
eten,to eat 4
de euro,euro 5
even,for a moment 1
eventueel,if necessary 7
de familie,family 2
fantastisch,fantastic 4
het feest,party / celebration 10
de feestdag,public holiday 10
feliciteren met,to congratulate on 11
het festival,festival
de fiets,bicycle 10
fietsen,to cycle 10
de fietsenmaker,cycle repairman 10
fijn,nice / good 4
de file,tailback / traffic jam 13
de film,film 4
de filosofie,philosophy 17
de filosofiegeschiedenis,history of philosophy 17
fit,healthy 14
de fooi,tip 6
het formulier,form 8
de foto,photo 2
foto’s maken,to take photos 4
Frans,French 3
frietje,chip 6
het fruit,fruit 5
gaan,"to go 4, 15"
gaan zitten,to sit down 6
de gang,"passage(way) 8, course 6"
de garage,garage 8
gauw,quickly 4
gebeuren,to happen 10
het gebied,area 15
gebruiken,to use 8
geel,yellow 5
geen,no 6
gefeliciteerd,"congratulations 3, happy birthday 11"
het gegeven (gegevens),"information, fact (data) 17"
de gehaktbal(letje),meatball 17
gek zijn op,to be crazy about 11
het geld,money 18
geldig,valid 14
geleden,ago 4
geloven,to believe 13
geluk hebben,to be lucky 12
gelukkig,"fortunately 13, happy"
(ge)makkelijk,easy 12
gemeubileerd,furnished 8
genoeg,enough 5
het gerecht,dish 5
de geschiedenis,history 17
geschikt,suitable 8
gesloten,closed 10
het gewicht,weight 14
in ieder geval,at any rate 18
geven,to give 3
geweldig,fantastic 15
gewend,used to 15
gewoon,"just 11, ordinary 17"
gezellig,pleasant / sociable 13
het gezicht,face 9
het gezin,family 2
gezond,healthy 13
de gezondheid,health 13
gisteravond,last night 9
gisteren,yesterday 2
glad,slippery 10
het glas,glass 3
goed,"good 3, fine 4, okay 4"
goede reis,have a good trip 15
goedemiddag,good afternoon 1
goedemorgen,good morning 1
goedenavond,good evening 1
goedendag,good day 1
goedkoop,cheap 5
goh,oh 2
graag,please 3
even graag als,as much as 7
graag willen,would like 3
het grapje,joke 15
gratis,free 14
groen,green 7
de groente,vegetable 5
de groenteboer,greengrocer 5
de groep,group 14
de groepsles,group lesson 14
de groeten,greetings 13
de groeten doen aan,to give someone’s regards to 4
groot,large 7
het haar,hair 2
haar,"her 2, 7"
de hal,hall 12
halen,"to fetch 6, take 18"
half,half 5
hallo,hello 1
handig,handy 18
hartstikke,very / completely 4
hé,hey 4
hè,isn’t it / eh 13
hebben,to have 1
heel,very 2
heerlijk,"delicious 5, exquisite 6, wonderful 17"
helaas,unfortunately 15
helemaal,"completely 10, at all 17"
helpen,to help 7
hem,"him, it 7"
hen,them 7
de herfst,autumn 2
herhalen,to repeat 10
"herinneren, zich",to remember 11
herkennen,to recognize 12
het,"the, it 1"
het gaat wel,"all right 4, it’s okay 6"
het is druk,it’s busy 14
het spijt me,I’m sorry 7
heten,to be called 1
hetzelfde,the same 3
hier,here 1
hij,he 1
de hitte,heat 16
de hobby,hobby 11
hoe,how (what) 1
de hoek,corner 12
hoera,hooray 11
hoeveel,how much / how many 5
hoeven,to need 8
hoewel,although 18
hoezo,how come 18
hoi,hi / hello 1
de hond,dog 13
de honger,hunger 6
het hoofdgerecht,main course 6
de hoofdpijn,headache 9
hoor,(for emphasis) 1
hopen,to hope 11
horen,to hear 11
houden van,"to like 6, fond of / love 13"
de huid,skin 9
het huis,house 8
de huisarts,doctor / gp 9
hun,"their 2, them 7"
huren,to rent 8
te huur,to let 8
de huurprijs,rent 8
de hypotheek,mortgage 17
het idee,idea 3
de identiteitskaart,ID card 18
ieder,each / every 11
iedereen,everyone 1
iemand,someone 13
iets,something 4
het ijs,icecream 6
ik,I 1
in,in 1
inderdaad,indeed 10
Indonesië,Indonesia 2
de informatie,information 11
de informatietechnologie,information technology 17
ingaan,to become effective 14
de ingang,entrance 12
"inschrijven, zich","to enrol, to register 14"
instappen,to get in 12
interessant,interesting 11
"interesseren, zich",to be interested 11
het internet,internet 14
ja,yes 1
ja hoor,yes / yes of course 2
het jaar,year 1
jarig zijn,to have a birthday 2
de jas,coat 7
jawel,oh yes 13
je,"you / your 1, 2, 7, yourself, yourselves 11"
