both,allebei
all kinds of,allerlei
to decide,beslissen
best,best
better,beter
within,binnen
blue,blauw
receipt,de bon
trousers,de broek
than,dan
that,die
somewhere,ergens
if necessary,eventueel
as much as,even graag als
green,groen
large,groot
her,haar
to help,helpen
"him, it",hem
them,hen
them,hun
coat,de jas
you / your,je
boy,de jongen
you,jou
your (pl),jullie
clothes,de kleding
clothes shop,de kledingzaak
colour,de kleur
to buy,kopen
low,laag
light,licht
preferably,liefst
rather / sooner,liever
to lie,liggen
just,maar even
size,de maat
me,me
most,meest
girl,het meisje
brand,het merk
me,mij
less,minder
least,minst
style,het model
usually,normaal
(in order) to,om
us,ons
changing room,de paskamer
to try on,passen
to pay by debit card,pinnen
to try on,proberen
pink,roze
to exchange,ruilen
sometimes,soms
jeans,de spijkerbroek
to suit,staan
tight,strak
you,u
saleswoman,de verkoopster
different,verschillende
what kind of,wat voor
few,weinig
wide,wijd
white,wit
shop / store,de zaak
she / they,ze
to fit,zitten
so,zo
to look,zoeken
black,zwart
