past,afgelopen
last few,afgelopen
allergic,allergisch
otherwise,anders
pharmacy,de apotheek
arm,de arm
leg,het been
to look at,bekijken
get well soon,beterschap
special,bijzonder
stomach,de buik
lump,het bultje
after that,daarna
to think,denken
doctor,de dokter
bucket,de emmer
face,het gezicht
last night,gisteravond
headache,de hoofdpijn
skin,de huid
doctor / gp,de huisarts
itch,de jeuk
to itch,jeuken
open,kapot
throat,de keel
complaint,de klacht
client,de klant
fever,de koorts
to scratch,krabben
to be bothered by / suffer from,last hebben van
to look like,lijken op
to give,meegeven
Mr,(de) meneer
afternoon,de middag
night,de nacht
oh yes,o ja
morning,de ochtend
during the day,overdag
pain,de pijn
to hurt,pijn doen
to try,proberen
reaction,de reactie
prescription,het recept
ripe,rijp
back,de rug
to sleep,slapen
to play,spelen
good luck,sterkte
get well soon,sterkte
everything,van alles
this evening,vanavond
this evening,vanmiddag
this morning,vanmorgen
tonight,vannacht
to forget,vergeten
terrible,verschrikkelijk
to feel,"voelen, zich"
football club,de voetbalvereniging
full,vol
last,vorig
match,het wedstrijdje
to work,werken
ointment,de zalf
to hurt / be painful,zeer doen
sick,ziek
as,zoals
