date / appointment,de afspraak
to set a date / make an appointment,afspreken
diary,de agenda
important,belangrijk
to stay / remain,blijven
neighbours,de buren
camera,de camera
then,dan
date,de datum
right now,direct
to have to go,ervandoor moeten
to eat,eten
fantastic,fantastisch
nice / good,fijn
film,de film
to take photos,foto’s maken
to go,gaan
quickly,gauw
ago,geleden
fine,goed
okay,goed
very / completely,hartstikke
hey,hé
all right,het gaat wel
something,iets
you,jou
your (pl),jullie
to look at,kijken naar
can,kunnen
to work / succeed,lukken
to make,maken
after,na
negative,negatief
few,paar
plan,het plan
positive,positief
fine / splendid,prachtig
wonderful,prima
problem,het probleem
to respond,reageren
romantic,romantisch
to write,schrijven
since,sinds
bad,slecht
spaghetti carbonara,spaghetti carbonara
street,de straat
to meet,tegenkomen
at home,thuis
until,tot
until then,tot dan
excellent,uitstekend
many,veel
Venice,Venetië
to think,vinden
next,volgende
to ask,vragen
(boy)friend,de vriend
wow,wauw
week,de week
to wish,wensen
shop,de winkel
to feel like,zin hebben om
not so,niet zo
will / shall,zullen
