surname,de achternaam
address,het adres
to say goodbye,afscheid nemen
already,al
everyone,allemaal
other,ander(e)
answer,het antwoord
to begin / start,beginnen
to greet,begroeten
page,de bladzijde
book,het boek
neighbour (m),de buurman
China,China
Chinese,Chinees
Chinese,Chinese
course,de cursus
bye,daag
hello,dag
bye,dag
day,de dag
teacher / lecturer,de docent
bye,doeg
bye,doei
and,en
England,Engeland
English,Engels
English,Engelse
English,Engelsman
for a moment,even
good afternoon,goedemiddag
good morning,goedemorgen
good evening,goedenavond
good day,goedendag
hello,hallo
to have,hebben
it,het
to be called,heten
here,hier
he,hij
how (what),hoe
hi / hello,hoi
(for emphasis),hoor
everyone,iedereen
I,ik
in,in
yes,ja
year,het jaar
you / your,je
you (sing),jij
your (sing),jouw
you (pl),jullie
your (pl),jullie
to get to know,kennismaken
to come,komen
country,het land
lesson,de les
to teach,lesgeven
to read,lezen
listen,luisteren
just,maar
with,met
Ms / Mrs,(de) mevrouw
my,mijn
name,de naam
to,naar
nationality,de nationaliteit
the Netherlands,Nederland
Dutch,Nederlander
Dutch,Nederlands
Dutch,Nederlandse
no,nee
now,nu
number,het nummer
also,ook
on,op
break,de pauze
postal code,de postcode
to spell,spellen
to speak,spreken
to stop,stoppen
soon / later,straks
language,de taal
text,de tekst
see you tomorrow,tot morgen
see you later,tot straks
so long,tot ziens
see you soon,tot zo
you,u
from,uit
of,van
to go on / continue,verdergaan
first name,de voornaam
to introduce oneself,"voorstellen, zich"
where,waar
where from,waar … vandaan
what,wat
we,we
which,welk(e)
welcome,welkom
who,wie
we,wij
to live,wonen
she / they,ze
to call,zeggen
to say,zeggen
she / they,zij
to be,zijn
