for a long time,al lang
other,ander(e)
to describe,beschrijven
visit / visitors,het bezoek
blond,blond
glasses,de bril
brother,de broer
there,daar
that,dat
the,de
this / these,deze
to do,doen
dark,donker
so / therefore,dus
a(n),een
(usually untranslated),eens
day before yesterday,eergisteren
actually / really,eigenlijk
family,de familie
photo,de foto
family,het gezin
yesterday,gisteren
oh,goh
hair,het haar
her,haar
very,heel
autumn,de herfst
their,hun
Indonesia,Indonesië
yes / yes of course,ja hoor
to have a birthday,jarig zijn
you / your,je
young,jong
canteen,de kantine
to look,kijken
short,klein
time / clock,de klok
coffee,de koffie
cup,de kop / het kopje
short,kort
to get / receive,krijgen
quarter of an hour,het kwartier
late,laat
"tall, long",lang
nice / delicious,lekker
spring,de lente
nice,leuk
month,de maand
but,maar
more,meer
minute,de minuut
must / should,moeten
at the moment,"moment, op dit"
tomorrow,morgen
morning,de morgen
to,naar
autumn,het najaar
not,niet
as well,nog
any more,nog meer
or,of
our,ons
our,onze
parents,de ouders
about,over
day after tomorrow,overmorgen
only,pas
seat / place,de plaats
season,het seizoen
aunt,de tante
type,het type
hour,het uur
your,uw
father,de vader
holiday,de vakantie
on holiday,op vakantie
today,vandaag
to tell,vertellen
for,voor
before,voor
spring,het voorjaar
free,vrij
why,waarom
when,wanneer
how nice,wat leuk
again,(het) weer
certainly,wel
which,welk(e)
work,het werk
to know,weten
to want,willen
winter,de winter
his,zijn
to sit,zitten
okay / right,zo
summer,de zomer
son,de zoon
sister,de zus
family,het gezin
parents,de ouders
father,de vader
mother,de moeder
husband,de man / echtgenoot
wife,de vrouw / echtgenote
child/children,het kind – de kinderen
son,de zoon
daughter,de dochter
brother,de broer
sister,de zus
family,de familie
sister in law,de schoonzus
brother in law,de zwager
grandfather,de opa
grandmother,de oma
grandchild,het kleinkind
uncle,de oom
aunt,de tante
nephew / cousin,de neef
niece / cousin,de nicht
Monday,maandag
Tuesday,dinsdag
Wednesday,woensdag
Thursday,donderdag
Friday,vrijdag
Saturday,zaterdag
Sunday,zondag
January,januari
February,februari
March,maart
April,april
May,mei
June,juni
July,juli
August,augustus
September,september
October,oktober
November,november
December,december
