on,aan
behind,achter
apartment,het appartement
bath,het bad
bathroom,de badkamer
balcony,het balkon
sofa / couch,de bank
bed,het bed
to phone,bellen
certain,bepaald
next to,bij
upstairs flat,de bovenwoning
desk,het bureau
neighbourhood,de buurt
city centre,het centrum
computer,de computer
close to,dicht bij
shower,de douche
simple,eenvoudig
form,het formulier
passage(way),de gang
garage,de garage
to use,gebruiken
furnished,gemeubileerd
suitable,geschikt
to need,hoeven
house,het huis
to rent,huren
to let,te huur
rent,de huurprijs
room / living room,de kamer
cupboard,de kast
kitchen,de keuken
real estate agent,de makelaar
maximum,maximaal
metre,de meter
myself,mezelf
possible,mogelijk
as soon as possible,zo snel mogelijk
possibility / option,de mogelijkheid
next to,naast
nothing,niets
new,nieuw
around,om
under,onder
open,open
old,oud
to discuss,overleggen
park,het park
spacious,ruim
to live together,samenwonen
bedroom,de slaapkamer
city / town,de stad
chair,de stoel
against,tegen
opposite,tegenover
garden,de tuin
between,tussen
far,ver
floor / storey,de verdieping
to let out,verhuren
square,vierkant
square metre,de vierkante meter
in front of,voor
advantage,het voordeel
(boy)friend,de vriend
true,waar
because,want
"a bit, a little",wat
toilet,de wc
west,het westen
house,de woning
living room,de woonkamer
accommodation / somewhere to live,de woonruimte
to see,zien
sunny,zonnig
